K,Run1,Run2,Run3,Run4,Run5,Mean Accuracy
50,0.27433182047402926,0.2869389813414019,0.2939989914271306,0.28189611699445283,0.2788703983862834,0.2832072617246596
100,0.3328290468986384,0.3454362077660111,0.32173474533535046,0.3363590519415028,0.3328290468986384,0.3338376197680282
200,0.37418053454362077,0.3767019667170953,0.3751891074130106,0.3852748361069087,0.3787191124558749,0.37801311144730204
300,0.3988905698436712,0.41250630358043366,0.39334341906202724,0.39989914271306104,0.3973777105395865,0.40040342914775595
400,0.41654059505799296,0.41654059505799296,0.3983862834089763,0.4130105900151286,0.4114977307110439,0.41119515885022695
