k,Run1,Run2,Run3,Run4,Run5,Mean Accuracy
1,0.2859304084720121,0.2859304084720121,0.2859304084720121,0.2859304084720121,0.2859304084720121,0.2859304084720121
3,0.27382753403933435,0.27382753403933435,0.27382753403933435,0.27382753403933435,0.27382753403933435,0.27382753403933435
5,0.27584467977811394,0.27584467977811394,0.27584467977811394,0.27584467977811394,0.27584467977811394,0.27584467977811394
7,0.28088754412506306,0.28088754412506306,0.28088754412506306,0.28088754412506306,0.28088754412506306,0.28088754412506306
9,0.2813918305597579,0.2813918305597579,0.2813918305597579,0.2813918305597579,0.2813918305597579,0.2813918305597579
