k,Run1,Run2,Run3,Run4,Run5,Mean Accuracy
1,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103826
3,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103825,0.8169398907103826
5,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393
7,0.7896174863387978,0.7896174863387978,0.7896174863387978,0.7896174863387978,0.7896174863387978,0.7896174863387978
9,0.7841530054644809,0.7841530054644809,0.7841530054644809,0.7841530054644809,0.7841530054644809,0.7841530054644809
